,Year,WUI Class,Burned Area (acres),Burned Area (km2)
1,2008,WUI ,31651.91642,128.0908745
2,2009,WUI ,8243.654379,33.36091516
3,2010,WUI ,3710.113196,15.01430869
4,2011,WUI ,2486.488149,10.06246943
5,2012,WUI ,5252.994796,21.25813452
6,2013,WUI ,13907.60183,56.28211754
7,2014,WUI ,10571.2373,42.78031738
8,2015,WUI ,33243.79625,134.5329893
9,2016,WUI ,14164.1607,57.32037537
10,2017,WUI ,115703.0696,468.2341242
11,2018,WUI ,87576.04578,354.4079966
12,2008,Non-WUI ,1351052.285,5467.51945
13,2009,Non-WUI ,427467.9202,1729.902828
14,2010,Non-WUI ,97345.50779,393.9436417
15,2011,Non-WUI ,199396.5531,806.9299349
16,2012,Non-WUI ,745030.9725,3015.036041
17,2013,Non-WUI ,540930.371,2189.069481
18,2014,Non-WUI ,518400.2042,2097.89305
19,2015,Non-WUI ,755974.845,3059.324361
20,2016,Non-WUI ,532083.7945,2153.268625
21,2017,Non-WUI ,1225231.638,4958.340907
22,2018,Non-WUI ,1492118.666,6038.395345
23,2008,Total ,1382704.201,5595.610323
24,2009,Total ,435711.5746,1763.263743
25,2010,Total ,101055.621,408.9579504
26,2011,Total ,201883.0413,816.9924045
27,2012,Total ,750283.9673,3036.294176
28,2013,Total ,554837.9728,2245.351599
29,2014,Total ,528971.4415,2140.673368
30,2015,Total ,789218.6413,3193.857351
31,2016,Total ,546247.9552,2210.589
32,2017,Total ,1340934.707,5426.575028
33,2018,Total ,1579694.711,6392.803338